country,new,all,cure,death
钻石号邮轮,0,712,699,13
布隆迪,3,692,575,1
巴布亚新几内亚,2,671,597,7
摩纳哥,9,630,570,3
科摩罗,2,615,590,7
厄立特里亚,17,594,498,0
坦桑尼亚,0,509,183,21
毛里求斯,3,508,465,10
不丹,3,418,386,0
柬埔寨,4,335,304,0
巴巴多斯,2,281,257,7
圣卢西亚,1,262,141,2
塞舌尔,0,183,162,0
文莱,0,151,145,3
安提瓜和巴布达,2,144,133,4
圣文森特和格林纳丁斯,2,87,80,0
多米尼克,0,85,63,0
斐济,0,42,33,2
格林纳达,0,41,30,0
老挝,0,39,26,0
马提尼克岛,5,37,0,1
东帝汶,1,31,30,0
梵蒂冈,0,27,15,0
圣基茨和尼维斯,0,22,19,0
所罗门群岛,0,17,5,0
马绍尔群岛,0,4,4,0
瓦努阿图,0,1,1,0
