country,new,all,cure,death
莱索托,36,2250,1319,44
尼日尔,39,2199,1276,80
新西兰,4,2096,2015,25
也门,1,2083,1383,606
圣马力诺,24,1932,1575,51
乍得,6,1751,1603,102
利比里亚,0,1676,1358,83
列支敦士登公国,16,1482,1296,20
越南,4,1395,1238,35
蒙古,1,907,384,0
布隆迪,5,728,640,1
巴布亚新几内亚,36,720,601,8
钻石号邮轮,0,712,699,13
厄立特里亚,55,711,564,0
摩纳哥,9,668,596,3
科摩罗,11,628,606,7
毛里求斯,0,515,478,10
坦桑尼亚,0,509,183,21
不丹,1,437,400,0
柬埔寨,2,359,307,0
巴巴多斯,1,292,269,7
圣卢西亚,4,274,197,4
塞舌尔,0,187,182,0
文莱,0,152,147,3
安提瓜和巴布达,1,148,138,4
圣文森特和格林纳丁斯,0,94,81,0
多米尼克,2,87,81,0
斐济,0,44,35,2
格林纳达,0,43,41,0
老挝,0,41,33,0
马提尼克岛,5,37,0,1
东帝汶,0,31,30,0
圣基茨和尼维斯,1,27,23,0
梵蒂冈,0,27,15,0
所罗门群岛,0,17,5,0
马绍尔群岛,0,4,4,0
瓦努阿图,0,1,1,0
